Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 200)","(125, 0, 100)"
1,1,"(625, 0, 150)","(375, 0, 200)"
2,2,"(625, 0, 50)","(125, 0, 200)"
3,3,"(625, 0, 200)","(375, 0, 0)"
4,4,"(125, 0, 200)","(625, 0, 0)"
5,5,"(375, 0, 150)","(375, 0, 200)"
6,6,"(125, 0, 200)","(125, 0, 50)"
7,7,"(375, 0, 0)","(125, 0, 200)"
8,8,"(625, 0, 0)","(125, 0, 200)"
9,9,"(625, 0, 100)","(375, 0, 200)"
10,10,"(375, 0, 100)","(125, 0, 200)"
11,11,"(375, 0, 50)","(125, 0, 200)"
12,12,"(625, 0, 200)","(125, 0, 100)"
13,13,"(125, 0, 200)","(125, 0, 150)"
14,14,"(625, 0, 200)","(625, 0, 0)"
15,15,"(375, 0, 150)","(375, 0, 200)"
16,16,"(625, 0, 200)","(375, 0, 50)"
17,17,"(125, 0, 0)","(375, 0, 200)"
18,18,"(125, 0, 50)","(375, 0, 200)"
19,19,"(625, 0, 50)","(625, 0, 200)"
20,20,"(125, 0, 200)","(125, 0, 100)"
21,21,"(625, 0, 200)","(375, 0, 100)"
22,22,"(625, 0, 150)","(125, 0, 200)"
23,23,"(625, 0, 200)","(625, 0, 0)"
24,24,"(125, 0, 200)","(375, 0, 0)"
25,25,"(375, 0, 200)","(625, 0, 100)"
26,26,"(625, 0, 150)","(375, 0, 200)"
27,27,"(375, 0, 200)","(125, 0, 50)"
28,28,"(625, 0, 200)","(125, 0, 0)"
29,29,"(375, 0, 150)","(125, 0, 200)"
30,30,"(625, 0, 200)","(125, 0, 150)"
31,31,"(375, 0, 200)","(125, 0, 100)"
32,32,"(125, 0, 200)","(375, 0, 100)"
33,33,"(125, 0, 0)","(625, 0, 200)"
34,34,"(625, 0, 200)","(375, 0, 50)"
35,35,"(375, 0, 200)","(625, 0, 50)"
36,36,"(625, 0, 200)","(375, 0, 50)"
37,37,"(375, 0, 200)","(375, 0, 150)"
38,38,"(625, 0, 100)","(125, 0, 200)"
39,39,"(625, 0, 200)","(125, 0, 150)"
