Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,37,380.69218678810057,"(125, 0, 200)","(375, 0, 150)"
1,1,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
2,2,37,380.69218678810057,"(625, 0, 100)","(125, 0, 200)"
3,3,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
4,4,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
5,5,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
6,6,21,352.01737145373386,"(125, 0, 200)","(375, 0, 0)"
7,7,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
8,8,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
9,9,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
10,10,15,341.2643157033463,"(625, 0, 150)","(625, 0, 200)"
11,11,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
12,12,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
13,13,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
14,14,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
15,15,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
16,16,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
17,17,31,369.939131037713,"(125, 0, 200)","(625, 0, 0)"
18,18,37,380.69218678810057,"(125, 0, 200)","(125, 0, 0)"
19,19,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
